,ground_truth,label,label_name,probs
0,1,1,without_mask,0.94091743
1,0,0,with_mask,0.96266997
2,1,1,without_mask,0.9440221
3,0,0,with_mask,0.9663677
4,0,0,with_mask,0.9665936
5,0,0,with_mask,0.9662502
6,0,0,with_mask,0.96502334
7,0,0,with_mask,0.9619843
8,0,0,with_mask,0.96511436
9,0,0,with_mask,0.95351106
10,0,0,with_mask,0.96229905
11,1,1,without_mask,0.9420876
12,0,0,with_mask,0.96325576
13,0,0,with_mask,0.9657786
14,0,0,with_mask,0.9655933
15,0,0,with_mask,0.96032965
16,0,0,with_mask,0.9647347
17,0,0,with_mask,0.95989007
18,0,0,with_mask,0.9630975
19,0,0,with_mask,0.96451867
20,0,0,with_mask,0.96604365
21,0,0,with_mask,0.9645394
22,1,1,without_mask,0.94763255
23,1,1,without_mask,0.94148004
24,1,1,without_mask,0.95028913
25,0,0,with_mask,0.9668864
26,0,0,with_mask,0.96674556
27,1,1,without_mask,0.9429579
28,1,1,without_mask,0.91798836
29,1,1,without_mask,0.9450117
30,0,0,with_mask,0.96377015
31,0,0,with_mask,0.9649899
32,0,0,with_mask,0.9652956
33,0,0,with_mask,0.96381134
34,0,0,with_mask,0.9559801
35,0,0,with_mask,0.9671468
36,0,0,with_mask,0.9626969
37,0,0,with_mask,0.8655451
38,0,0,with_mask,0.9666749
39,0,0,with_mask,0.94713145
40,0,0,with_mask,0.9629941
41,0,0,with_mask,0.96448284
42,0,0,with_mask,0.96388596
43,0,0,with_mask,0.9654209
44,0,0,with_mask,0.9653997
45,1,1,without_mask,0.94452924
46,0,0,with_mask,0.9587835
47,2,2,mask_weared_incorrect,0.49911216
48,0,0,with_mask,0.9652672
49,0,0,with_mask,0.9253395
50,0,0,with_mask,0.9642997
51,0,0,with_mask,0.96367115
52,0,0,with_mask,0.9666286
53,0,0,with_mask,0.9658197
54,0,0,with_mask,0.9657679
55,0,0,with_mask,0.96785676
56,0,0,with_mask,0.9667157
57,0,0,with_mask,0.96686405
58,0,0,with_mask,0.9665505
59,0,0,with_mask,0.96482533
60,0,0,with_mask,0.96550083
61,0,0,with_mask,0.96519643
62,0,0,with_mask,0.96446115
63,1,1,without_mask,0.94742006
64,1,1,without_mask,0.9482579
65,0,0,with_mask,0.9662832
66,0,0,with_mask,0.9666082
